manufacturer,model,submodel,year,hand,mileage,engine_liters,horsepower,fuel,transmission,drive_type,body_color,price
Mazda,323,GLX,1999,3,290000,1.8,115,Gasoline,Automatic,FWD,White,10000
Mazda,3,Active,2015,2,195000,1.5,120,Gasoline,Automatic,FWD,White,24000
Mazda,3,Spirit,2021,3,85000,2.0,165,Gasoline,Automatic,FWD,Black,89000
Mazda,2 Hybrid,,2024,1,8500,1.5,116,Hybrid,Automatic,FWD,White,119990
Mazda,Cx 30,Executive,2020,2,123700,2.0,165,Gasoline,Automatic,FWD,White,83000
Mazda,3,Comfort,2009,4,207500,1.6,105,Gasoline,Automatic,FWD,Black,13000
Mazda,3,Active,2005,4,240000,1.6,105,Gasoline,Automatic,FWD,Blue,4200
Mazda,Cx 30,Comfort,2022,2,127150,2.0,165,Gasoline,Automatic,FWD,White,85000
Mazda,Cx 5,Executive,2013,3,199000,2.0,155,Gasoline,Automatic,FWD,Blue,39990
Mazda,5,Executive,2010,3,250000,2.0,145,Gasoline,Automatic,FWD,Silver,13000
Mazda,2,Active,2010,2,206000,1.5,103,Gasoline,Automatic,FWD,Golden,12500
Mazda,2,Dynamic,2023,1,74000,1.5,116,Gasoline,Automatic,FWD,White,78900
Mazda,Cx 5,Executive,2022,1,42000,2.0,165,Gasoline,Automatic,FWD,White,134900
Mazda,5,Executive,2011,3,220000,2.0,144,Gasoline,Automatic,FWD,Silver,24900
Mazda,3,Active,2014,2,270000,1.5,120,Gasoline,Automatic,FWD,White,28000
Mazda,3,Spirit,2021,2,122000,2.0,165,Gasoline,Automatic,FWD,Black,77000
Mazda,3,Sport,2019,2,173000,2.0,165,Gasoline,Automatic,FWD,Black,62300
Mazda,3,Spirit,2013,4,137000,2.0,165,Gasoline,Automatic,FWD,Silver,27500
Mazda,5,Executive,2008,4,320000,2.0,145,Gasoline,Automatic,FWD,Silver,15000
Mazda,Cx 5,,2022,1,56000,2.5,194,Gasoline,Automatic,FWD,Black,147000
Mazda,Cx 3,Urban,2023,1,21000,1.5,116,Gasoline,Automatic,FWD,Blue,115000
Mazda,6,Executive,2004,1,289371,2.0,147,Gasoline,Automatic,FWD,Silver,6900
Mazda,3,Active,2011,4,216000,1.6,105,Gasoline,Automatic,FWD,Silver,10000
Mazda,Cx 5,Executive,2020,1,54000,2.0,165,Gasoline,Automatic,FWD,Black,117000
Mazda,Cx 30,Comfort,2024,1,3800,2.0,165,Gasoline,Automatic,FWD,Silver,142600
Mazda,3,,2008,2,220000,1.6,105,Gasoline,Automatic,FWD,Purple,9280
Mazda,3,,2007,3,340000,1.6,105,Gasoline,Automatic,FWD,Beige,9000
Mazda,Cx 5,Executive,2022,1,38600,2.0,165,Gasoline,Automatic,FWD,Black,134000
Mazda,5,S,2007,3,240000,2.0,145,Gasoline,Automatic,FWD,Silver,8000
Mazda,Cx 5,Executive,2017,3,100000,2.0,165,Gasoline,Automatic,FWD,White,81000
Mazda,5,,2011,3,248000,2.0,144,Gasoline,Automatic,FWD,Black,29000
