manufacturer,model,submodel,year,hand,mileage,engine_liters,horsepower,fuel,transmission,drive_type,body_color,price
Audi,A3,,2017,2,118000,1.4,150,Gasoline,Robotic,FWD,White,60000
Audi,Q3 Sportback,,2023,1,36500,1.4,245,Plug,Robotic,FWD,Black,255000
Audi,Q3,Executive,2016,2,180000,1.4,150,Gasoline,Robotic,FWD,Grey,74000
Audi,A3,,2022,1,54000,1.5,150,Gasoline,Robotic,FWD,Black,152000
Audi,A6,,2009,4,234000,2.8,190,Gasoline,Variable,FWD,Blue,25000
Audi,Q5,Executive,2016,2,150000,2.0,180,Gasoline,Automatic,AWD,Grey,89000
Audi,A3,Luxury,2018,3,120000,1.5,150,Gasoline,Robotic,FWD,White,80000
Audi,Q5,Luxury,2016,2,180000,2.0,230,Gasoline,Automatic,AWD,Black,185000
Audi,A4,35 TFSI Advanced,2023,2,9000,2.0,150,Gasoline,Robotic,FWD,Black,179000
Audi,Q5,Quattro,2009,4,245000,2.0,211,Gasoline,Automatic,AWD,Silver,35000
Audi,Q3,,2012,3,164000,2.0,211,Gasoline,Robotic,AWD,White,45000
Audi,A3,A3 Sportback Sharp,2023,1,27000,1.5,150,Gasoline,Robotic,FWD,White,170000
Audi,Q2,Luxury Assistance,2018,1,145000,1.4,150,Gasoline,Robotic,FWD,White,83000
Audi,Q5,,2009,4,167000,2.0,211,Gasoline,Automatic,AWD,Grey,38000
Audi,A1,Style Comfort,2021,2,35000,1.0,110,Gasoline,Robotic,FWD,White,122000
Audi,A3,Sharp,2013,4,155000,1.8,180,Gasoline,Robotic,FWD,Silver,63000
Audi,Q7,Sport Design,2015,4,139000,3.0,245,Diesel,Automatic,AWD,White,128000
Audi,A1,Style,2013,2,131000,1.4,122,Gasoline,Robotic,FWD,Black,40000
Audi,E Tron Sportback,Advanced Luxury,2021,1,64000,,408,Electro,Automatic,AWD,White,315000
Audi,Q3,,2013,3,123000,2.0,170,Gasoline,Robotic,AWD,Black,59000
Audi,A6,,2006,4,290000,2.4,177,Gasoline,Variable,FWD,Grey,12000
Audi,A1,Basis,2015,2,98000,1.4,125,Gasoline,Manual,FWD,Black,65000
Audi,Tt,,2001,3,69000,1.8,225,Gasoline,Manual,AWD,Silver,56000
Audi,Q3,Limited,2018,4,118000,2.0,180,Gasoline,Robotic,AWD,White,114000
Audi,Q7,Luxury,2018,1,129000,3.0,272,Diesel,Automatic,AWD,Black,185000
Audi,Q5,,2011,4,252900,2.0,170,Diesel,Robotic,AWD,Black,51500
Audi,Q3,Basis,2019,2,100000,1.4,150,Gasoline,Robotic,FWD,White,103000
Audi,Q5,Executive,2016,2,160000,2.0,230,Gasoline,Automatic,AWD,Silver,100000
Audi,E Tron,,2019,1,55000,,408,Electro,Automatic,AWD,Grey,258000
Audi,Q7,Premium,2018,2,120000,3.0,374,Plug,Automatic,AWD,White,220000
Audi,A8,,2012,2,140000,3.0,290,Gasoline,Automatic,AWD,Black,60000
Audi,Tt,,2002,4,213000,1.8,180,Gasoline,Manual,FWD,Blue,59900
Audi,E Tron Sportback,,2021,1,40000,,408,Electro,Automatic,AWD,White,370000
Audi,A1,,2020,1,30000,1.0,116,Gasoline,Robotic,FWD,White,110000
Audi,Q5,Executive,2015,3,100000,2.0,225,Gasoline,Automatic,AWD,White,90000
Audi,Q7,Base,2008,2,258000,3.6,280,Gasoline,Automatic,AWD,Grey,45000
Audi,A4,Executive,2015,2,178000,1.8,120,Gasoline,Variable,FWD,White,35000
Audi,A3,Base,2010,1,235000,2.0,200,Gasoline,Robotic,FWD,Black,24999
Audi,A1,Style,2013,2,146000,1.4,122,Gasoline,Manual,FWD,White,33000
Audi,A7,Base,2021,2,60000,2.0,299,Plug,Robotic,AWD,Grey,278000
Audi,Q7,,2014,2,230000,3.0,245,Diesel,Automatic,AWD,White,74500
Audi,A3,,2006,4,230000,2.0,200,Gasoline,Robotic,FWD,Red,29500
Audi,Q5,,2020,2,113000,2.0,245,Gasoline,Robotic,AWD,Black,149900
Audi,Tt,Design,2024,1,8000,2.0,197,Gasoline,Robotic,FWD,Black,229900
Audi,Q3,Executive,2016,3,152000,1.4,150,Gasoline,Robotic,FWD,Black,63900
Audi,A1,Style,2011,3,185000,1.4,122,Gasoline,Robotic,FWD,Red,21900
Audi,Q3,,2014,2,61000,2.0,170,Gasoline,Robotic,AWD,White,100000
Audi,A4,,2017,2,180000,2.0,190,Gasoline,Robotic,FWD,Black,74900
Audi,A3,,2022,2,46000,1.4,204,Plug,Robotic,FWD,White,179900
Audi,S4,,2007,3,178000,4.2,344,Gasoline,Automatic,AWD,Grey,59000
Audi,Q5 Sportback,Advanced Luxury,2022,1,40000,2.0,265,Gasoline,Robotic,AWD,Grey,240000
Audi,A3,,2017,4,140000,1.4,150,Gasoline,Robotic,FWD,Grey,79000
Audi,A1,Style,2012,4,160000,1.4,122,Gasoline,Robotic,FWD,Black,43000
Audi,Q5,Quattro,2010,4,135000,2.0,211,Gasoline,Automatic,AWD,White,40000
Audi,A6,,2009,3,210000,2.8,190,Gasoline,Variable,FWD,Green,19000
